created,created_by_ref,description,external_references,goals,id,identity_class,is_family,kill_chain_phases,malware_types,modified,name,primary_motivation,sophistication,spec_version,threat_actor_types,tool_types,type,x_capabilities,summary
2026-01-19T21:46:24.295687Z,,SEQRITE Labs is the publisher of this threat intelligence report. STIXed by TI Mindmap HUB.,,,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,organization,,,,2026-01-19T21:46:24.295687Z,SEQRITE Labs,,,2.1,,,identity,,"The object contains information about an identity threat actor named SEQRITE Labs. This identity is associated with the organization SQRITE Labs, which is a publisher of threat intelligence reports. The report has been STIXed by TI Mindmap HUB, indicating that it follows the STIX (Standard Threat Intelligence eXchange) format.

SEQRITE Labs serves as an organization within the kill chain phases and has various attributes such as sophistication, primary motivation, tool types, malware types, and threat actor types. However, these values are currently unknown due to being represented by null or not applicable (nan).

The object does provide a description of SEQRITE Labs as a publisher of this specific threat intelligence report. Additionally, it provides some external references but they are also null."
2026-01-19T21:46:24.295687Z,,TI Mindmap HUB is an AI-powered threat intelligence platform that generates STIX bundles from OSINT sources.,,,identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,organization,,,,2026-01-19T21:46:24.295687Z,TI Mindmap HUB,,,2.1,,,identity,,"The object contains information about an AI-powered threat intelligence platform called TI Mindmap HUB. This platform generates STIX bundles from Open-Source Intelligence (OSINT) sources, which suggests that it uses publicly available data to identify and analyze potential threats.

TI Mindmap HUB is classified as a type of identity, indicating that it is an organization or entity that can be identified and tracked. However, the primary motivation for this platform is not explicitly stated, but rather categorized under ""primary_motivation"" which remains unknown at this point.

The object also mentions several types of threats and attack vectors, including malware types, kill chain phases, threat actor types, and tool types. These categories suggest that TI Mindmap HUB can identify and analyze a wide range of potential threats to an organization's security, from malicious software (malware) to various stages of an attacker's kill chain.

Additionally, the object contains information about the capabilities of TI Mindmap HUB, including its sophistication level, which is currently unknown. This suggests that the platform may be capable of advanced threat analysis and intelligence gathering, but more information would be needed to fully understand its capabilities.

Overall, the object provides a general overview of TI Mindmap HUB's functionality and capabilities as an AI-powered threat intelligence platform, highlighting its potential to identify and analyze complex security threats."
2026-01-19T21:46:45.774624Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"The threat actors crafted a highly convincing government-themed lure document written in Pashto, complete with official logos, formatting, reference numbers, and signatures. This decoy is distributed to Afghan government employees, specifically targeting ministries and administrative offices. The document creates urgency by setting deadlines and mimics authentic communication from the Prime Minister’s Office, aiming to trick recipients into opening the attached malicious files. The use of culturally and contextually relevant details increases the likelihood of successful initial compromise by leveraging trust in official communications.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1566/001/"", ""external_id"": ""T1566.001""}]",,attack-pattern--50969ca5-1ce0-f880-e51e-b05982ca72e6,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-19T21:46:45.774624Z,Spearphishing with Government-Themed Decoy Document,,,2.1,,,attack-pattern,,"The object contains information about a sophisticated spear phishing attack. The threat actors have crafted a highly convincing government-themed lure document, written in Pashto, complete with official logos, formatting, reference numbers, and signatures, to deceive Afghan government employees. This decoy is specifically targeted at ministries and administrative offices.

The document creates urgency by setting deadlines and mimics authentic communication from the Prime Minister's Office, aiming to trick recipients into opening attached malicious files. The use of culturally and contextually relevant details increases the likelihood of successful initial compromise by leveraging trust in official communications.

This attack pattern has been identified as a technique used by threat actors, denoted as T1566/001 according to the Mitre-attack database, where it is listed under the category of email-based attacks."
2026-01-19T21:46:45.774712Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Attackers use an ISO file named to resemble an official Afghan government document as the initial container for malicious files. The ISO contains a decoy PDF, a shortcut (LNK) file, and the final payload disguised as an image file. By leveraging the ISO format, the attackers evade common email and endpoint security controls, as Windows mounts ISO files as virtual drives, which often prevents embedded files from inheriting Mark-of-the-Web restrictions. This increases the chance that the malicious content will execute without triggering security warnings or sandboxing.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1204/002/"", ""external_id"": ""T1204.002""}]",,attack-pattern--263ad44e-f792-e4c1-48f7-22e854ade5fd,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-19T21:46:45.774712Z,Malicious ISO File for Payload Delivery and Mark-of-the-Web Evasion,,,2.1,,,attack-pattern,,"The object contains information about a malicious attack pattern that leverages an ISO file to deliver payload and evade security controls. Attackers use an ISO file named to resemble an official Afghan government document, which serves as the initial container for malicious files.

The ISO file contains multiple components, including a decoy PDF, a shortcut (LNK) file, and a final payload disguised as an image file. By using this format, attackers can evade common security controls such as email and endpoint security measures.

Specifically, Windows mounts ISO files as virtual drives, which often prevents embedded files from inheriting Mark-of-the-Web restrictions. This allows the malicious content to execute without triggering security warnings or sandboxing, increasing its chances of success.

The attack pattern is categorized under the MITRE ATT&CK framework and corresponds to technique T1204.002. It falls under the initial access phase of the kill chain.

There is no detailed information available on the goals, sophistication, primary motivation, malware types, or tool types associated with this attack pattern. However, it does demonstrate the use of mark-of-the-web evasion techniques to bypass security controls and deliver malicious payloads."
2026-01-19T21:46:45.774806Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"The campaign uses a specially crafted LNK shortcut file named 'Doc.pdf.lnk' that, when executed, opens the decoy PDF to distract the victim while simultaneously copying the payload (FALSECUB) to the C:\ProgramData directory. The LNK file then creates a hardlink in the Startup folder under the name 'searchmgr.exe' using the mklink command, ensuring the malware is executed upon system boot for persistence. Finally, it launches the payload using the start command. This multi-step process allows for stealthy execution and persistence while maintaining the appearance of legitimacy.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1218/007/"", ""external_id"": ""T1218.007""}]",,attack-pattern--ef21ccbe-3bdc-72fd-14d2-1492aca8aa1d,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-19T21:46:45.774806Z,"Malicious LNK File for Decoy Display, Payload Execution, and Persistence",,,2.1,,,attack-pattern,,"The object contains a malicious attack pattern that uses a specially crafted LNK shortcut file to distract the victim while copying the payload to the C:\\ProgramData directory. The LNK file creates a hardlink in the Startup folder under the name 'searchmgr.exe' using the mklink command, ensuring the malware is executed upon system boot for persistence. This multi-step process allows for stealthy execution and persistence while maintaining the appearance of legitimacy.

The attack pattern involves the creation of a decoy PDF that appears to be legitimate, which serves as a distraction for the victim. While the victim is focused on the decoy PDF, the LNK file executes the payload (FALSECUB) in the C:\\ProgramData directory.

The attack pattern has been referenced by MITRE ATT&CK, with a technique ID of T1218/007, indicating that it falls under the category of using a malicious LNK file as part of an attack. The primary goal of this attack pattern is not explicitly stated, but its purpose appears to be to execute payload code and maintain persistence on the compromised system.

The attack pattern's sophistication level is not known at this time, as this information was not provided in the data. However, it is clear that this technique requires a certain level of expertise and planning to execute effectively."
2026-01-19T21:46:45.774868Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"The final payload, FALSECUB, is disguised with a .jpg extension (img.jpg) to appear as a harmless image file. This naming convention is intended to deceive both users and automated security controls, making it less likely for the executable to be flagged as suspicious. The masquerading technique is used throughout the infection chain, from initial delivery in the ISO file to execution, increasing the stealth of the operation and reducing the risk of detection during manual inspection or automated scanning.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1036/008/"", ""external_id"": ""T1036.008""}]",,attack-pattern--a46b9ecc-e2b1-f551-c919-32f200f83765,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-19T21:46:45.774868Z,Payload Masquerading as Image File,,,2.1,,,attack-pattern,,"The object contains information about an attack pattern identified as ""Payload Masquerading as Image File"". This attack pattern involves disguising a payload, specifically FALSECUB, by giving it a .jpg extension to make it appear as a harmless image file. The goal is to deceive both human users and automated security controls, thereby reducing the likelihood of the executable being flagged as suspicious during manual inspection or automated scanning.

The masquerading technique used in this attack pattern is employed throughout the infection chain, from delivering the payload in an ISO file to its execution. This increases the stealth of the operation and reduces the risk of detection during various stages of the attack.

The object also references external sources, including a link to the MITRE ATT&CK framework, which provides additional information about the technique used (T1036/008). However, no further details are provided in the metadata section of this object."
2026-01-19T21:46:45.774976Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"After copying the payload to the ProgramData directory, the LNK file creates a hardlink to the payload in the Windows Startup folder using the mklink command. The hardlink is named 'searchmgr.exe', mimicking a legitimate system process. This ensures that the malware is executed every time the system boots, providing persistence across reboots. The use of a hardlink rather than a simple shortcut or registry modification is a less common method, potentially bypassing some security controls that monitor traditional persistence mechanisms.",,,attack-pattern--0712f37a-86a9-9e1e-fbbd-f1c9435d4747,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",,2026-01-19T21:46:45.774976Z,Persistence via Hardlink in Startup Folder,,,2.1,,,attack-pattern,,"The object contains information about a specific attack pattern known as ""Persistence via Hardlink in Startup Folder."" This attack pattern involves creating a hardlink to the malware payload in the Windows Startup folder using the mklink command, mimicking a legitimate system process. The hardlink is named ""searchmgr.exe,"" which ensures that the malware is executed every time the system boots, providing persistence across reboots.

The use of a hardlink rather than a simple shortcut or registry modification is a less common method for achieving persistence, potentially bypassing some security controls that monitor traditional persistence mechanisms. This approach allows the attacker to maintain control over the system even when other detection methods are not triggered.

It's worth noting that this attack pattern falls under the Mitre Attack framework, specifically within the ""persistence"" phase. This indicates that the primary goal of the attack is to establish a persistent presence on the compromised system. The attack pattern does not specify any particular malware type or threat actor, but rather focuses on the method used to achieve persistence."
2026-01-19T21:46:45.775028Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"The FALSECUB malware incorporates multiple anti-analysis techniques to evade detection and hinder reverse engineering. It uses APIs such as GetTickCount64 to detect if it is running in a debugger, GlobalMemoryStatusEx to check for low physical memory typical of analysis environments, and IsDebuggerPresent to directly determine if a debugger is attached. If any of these checks indicate an analysis environment, the malware employs Sleep APIs to delay execution or halt, making dynamic analysis more difficult and reducing the likelihood of successful sandboxing or automated detection.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1497/001/"", ""external_id"": ""T1497.001""}]",,attack-pattern--76a1ccfa-0ced-79ea-a2fb-719aa5191bcb,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-19T21:46:45.775028Z,Anti-Analysis Checks Using System APIs,,,2.1,,,attack-pattern,,"The object contains information about a specific type of malware known as the FALSECUB malware. This malware incorporates multiple anti-analysis techniques to evade detection and hinder reverse engineering, making it more challenging for security analysts to analyze or detect.

To achieve this, the malware uses various APIs such as GetTickCount64, GlobalMemoryStatusEx, and IsDebuggerPresent. The latter two checks are used to determine if the malware is running in an analysis environment, which often includes low physical memory typical of such environments. If any of these checks indicate that it is running in a debugger or an analysis environment, the malware employs Sleep APIs to delay execution or halt.

This approach makes dynamic analysis more difficult and reduces the likelihood of successful sandboxing or automated detection by malicious analysts. The FALSECUB malware utilizes this strategy to evade detection and hinder reverse engineering efforts, making it a sophisticated threat.

The object also provides additional context about the malware through external references, including a link from Mitre-Attack with an ID of T1497.001."
2026-01-19T21:46:45.775077Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Once the anti-analysis checks are passed, the FALSECUB implant connects to a command-and-control (C2) server using an embedded address in its code. This allows the threat actor to remotely control the infected machine, exfiltrate data, and potentially deliver additional payloads. The connection is established immediately after persistence is achieved, enabling ongoing communication and control over compromised systems within targeted Afghan government networks.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1071/001/"", ""external_id"": ""T1071.001""}]",,attack-pattern--29113d9e-299e-9ce4-57be-6469be16c59b,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""command-and-control""}]",,2026-01-19T21:46:45.775077Z,Command and Control via Embedded C2 Address,,,2.1,,,attack-pattern,,"The object contains a detailed description of an attack pattern known as ""Command and Control via Embedded C2 Address."" This attack pattern involves the use of the FALSECUB implant, which connects to a command-and-control (C2) server using an embedded address in its code once anti-analysis checks are passed. The connection allows the threat actor to remotely control the infected machine, exfiltrate data, and potentially deliver additional payloads.

The connection is established immediately after persistence is achieved, enabling ongoing communication and control over compromised systems within targeted Afghan government networks. This attack pattern falls under the kill chain phase of ""command-and-control"" as identified by the MITRE ATT&CK framework.

It is worth noting that there is no information available about the goals, sophistication, primary motivation, or tool types associated with this attack pattern. However, it can be inferred that this attack pattern involves a sophisticated threat actor utilizing advanced tactics to compromise and control systems within targeted networks."
2026-01-19T21:46:49.705126Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"FALSECUB is a C++ executable payload delivered via a malicious ISO and LNK file, disguised as an image file. It is used to establish persistence, evade analysis, and connect to a command-and-control server for remote access and further malicious activities.",,,malware--835973ab-0257-9260-7968-93f90b13e03d,,True,,"[""backdoor"", ""trojan""]",2026-01-19T21:46:49.705126Z,FALSECUB,,,2.1,,,malware,"[""persistence"", ""anti-analysis"", ""command-and-control"", ""remote-access""]","The object contains a description of the FALSECUB malware, which is a C++ executable payload delivered via malicious ISO and LNK files. It appears to be designed to establish persistence in a system, evade analysis techniques, and connect to a command-and-control server for remote access and further malicious activities.

Furthermore, FALSECUB is classified as a Trojan and a backdoor, indicating that it allows attackers to gain unauthorized access to a system while also providing a means of hiding their presence. The malware's sophistication level is unknown, but it is noted to use certain tactics such as persistence, anti-analysis, command-and-control, and remote-access capabilities.

It is worth noting that the primary motivation behind the creation of FALSECUB is currently unclear, as this information is not provided in the data. Additionally, some other relevant details about the malware, including its tool types, threat actor types, and kill chain phases, are also unknown due to a lack of information in the given data.

Overall, the provided data offers insight into the characteristics and functionality of the FALSECUB malware, providing context for understanding its behavior and potential impacts on compromised systems."
